question_id,question_order,model_id,model_label,answer_count,elapsed_seconds,cost_cents,input_tokens,output_tokens,prompt_preview,seconds_per_answer,cost_per_answer_cents
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,deepseek-v4-flash,DeepSeek V4 Flash,123,152.0,6,385387,16026,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri",1.2357723577235773,0.04878048780487805
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,deepseek-v4-pro,DeepSeek V4 Pro,123,162.0,12,252945,8412,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri",1.3170731707317074,0.0975609756097561
66ec6c12-2ebb-42e2-8aea-814f9b9a4c49,1,deepseek-v4-flash,DeepSeek V4 Flash,123,220.0,9,645994,15013,"What is the result of this code? ```c main() { fork(); execl(""/bin/echo"", ""echo"", ""hello"", 0); printf(""done\n""); } ```",1.7886178861788617,0.07317073170731707
66ec6c12-2ebb-42e2-8aea-814f9b9a4c49,1,deepseek-v4-pro,DeepSeek V4 Pro,123,248.0,9,181549,15149,"What is the result of this code? ```c main() { fork(); execl(""/bin/echo"", ""echo"", ""hello"", 0); printf(""done\n""); } ```",2.016260162601626,0.07317073170731707
199417a2-c63c-436e-8a8d-869d348dbbdd,2,deepseek-v4-flash,DeepSeek V4 Flash,123,157.0,5,329792,16177,List two advantages of kernel-level threads over user-level threads.,1.2764227642276422,0.04065040650406504
199417a2-c63c-436e-8a8d-869d348dbbdd,2,deepseek-v4-pro,DeepSeek V4 Pro,123,279.0,28,607151,13142,List two advantages of kernel-level threads over user-level threads.,2.268292682926829,0.22764227642276422
bc513144-2e7e-4363-8375-56c87bc07ff0,3,deepseek-v4-flash,DeepSeek V4 Flash,123,189.0,10,663600,17559,What is busy waiting (spinlock)?,1.5365853658536586,0.08130081300813008
bc513144-2e7e-4363-8375-56c87bc07ff0,3,deepseek-v4-pro,DeepSeek V4 Pro,123,282.0,25,544417,14304,What is busy waiting (spinlock)?,2.292682926829268,0.2032520325203252
f2dac513-8733-4f95-8e93-ce1e5e922334,4,deepseek-v4-flash,DeepSeek V4 Flash,114,160.0,7,494839,16067,"Describe the concept of ""demand paging"" as a virtual memory implementation. Why is it commonly used?",1.4035087719298245,0.06140350877192982
f2dac513-8733-4f95-8e93-ce1e5e922334,4,deepseek-v4-pro,DeepSeek V4 Pro,114,408.0,32,670657,23614,"Describe the concept of ""demand paging"" as a virtual memory implementation. Why is it commonly used?",3.5789473684210527,0.2807017543859649
47cb43c4-ca23-4831-960c-018702c06992,5,deepseek-v4-flash,DeepSeek V4 Flash,123,1443.0,18,1037379,113868,What is the difference between a preemptive scheduler and a non-preemptive scheduler? Provide an example scenario where ,11.731707317073171,0.14634146341463414
47cb43c4-ca23-4831-960c-018702c06992,5,deepseek-v4-pro,DeepSeek V4 Pro,123,384.0,20,418478,23144,What is the difference between a preemptive scheduler and a non-preemptive scheduler? Provide an example scenario where ,3.1219512195121952,0.16260162601626016
fe59c063-d7d5-4d1a-8d82-90dd1e67c55b,6,deepseek-v4-flash,DeepSeek V4 Flash,118,171.0,8,557982,17624,Explain Belady’s Anomaly in the context of page replacement algorithms. Which replacement algorithm has this anomaly?,1.4491525423728813,0.06779661016949153
fe59c063-d7d5-4d1a-8d82-90dd1e67c55b,6,deepseek-v4-pro,DeepSeek V4 Pro,118,205.0,20,423819,11671,Explain Belady’s Anomaly in the context of page replacement algorithms. Which replacement algorithm has this anomaly?,1.7372881355932204,0.1694915254237288
1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c,7,deepseek-v4-flash,DeepSeek V4 Flash,123,319.0,9,556353,29448,What is priority inversion? Describe a scenario where busy waiting (spinlock) can lead to it. How can priority inheritan,2.5934959349593494,0.07317073170731707
1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c,7,deepseek-v4-pro,DeepSeek V4 Pro,123,320.0,29,624360,17082,What is priority inversion? Describe a scenario where busy waiting (spinlock) can lead to it. How can priority inheritan,2.6016260162601625,0.23577235772357724
979c5847-2933-4887-b7fd-05f878541734,8,deepseek-v4-flash,DeepSeek V4 Flash,122,128.0,6,372935,15955,"In a system with a TLB hit ratio of 85%, if TLB access time is 15ns and memory access time is 100ns, calculate the effec",1.0491803278688525,0.04918032786885246
979c5847-2933-4887-b7fd-05f878541734,8,deepseek-v4-pro,DeepSeek V4 Pro,122,243.0,17,359079,13041,"In a system with a TLB hit ratio of 85%, if TLB access time is 15ns and memory access time is 100ns, calculate the effec",1.9918032786885247,0.13934426229508196
