question_id,question_order,max_score,model_id,exam_answer_id,subject_id,answer_text,ai_score,human_score,diff,abs_diff,squared_diff,prompt_preview
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1513,S109,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1504,S015,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1434,S054,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1446,S117,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1449,S093,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1466,S012,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1460,S108,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,2031,S099,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1534,S070,5,2.0,2.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,deepseek-v4-flash,1567,S080,4,0.0,0.0,0.0,0.0,0.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
