model_id,model_label,question_id,question_order,max_score,answer_count,mae,rmse,bias_ai_minus_human,median_abs_error,exact_match_rate,within_0_5_rate,within_1_rate,pearson_corr,spearman_corr,prompt_preview
deepseek-v4-flash,DeepSeek V4 Flash,7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,123,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999999,1.0,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
deepseek-v4-pro,DeepSeek V4 Pro,7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,2.0,123,0.08943089430894309,0.2990499863048703,0.08943089430894309,0.0,0.9105691056910569,0.9105691056910569,1.0,0.9469736195610637,0.9909878937174286,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; pri"
deepseek-v4-flash,DeepSeek V4 Flash,66ec6c12-2ebb-42e2-8aea-814f9b9a4c49,1,2.0,123,0.22764227642276422,0.4597631061983315,0.2032520325203252,0.0,0.7154471544715447,0.8455284552845529,0.991869918699187,0.8834193471845143,0.9060866200809641,"What is the result of this code? ```c main() { fork(); execl(""/bin/echo"", ""echo"", ""hello"", 0); printf(""done\n""); } ```"
deepseek-v4-pro,DeepSeek V4 Pro,66ec6c12-2ebb-42e2-8aea-814f9b9a4c49,1,2.0,123,0.6178861788617886,0.7650920556760059,-0.5853658536585366,1.0,0.3170731707317073,0.44715447154471544,1.0,0.8460586829387118,0.8793875437665666,"What is the result of this code? ```c main() { fork(); execl(""/bin/echo"", ""echo"", ""hello"", 0); printf(""done\n""); } ```"
deepseek-v4-flash,DeepSeek V4 Flash,199417a2-c63c-436e-8a8d-869d348dbbdd,2,2.0,123,0.23170731707317074,0.48765241519834646,-0.044715447154471545,0.0,0.7479674796747967,0.8130081300813008,0.983739837398374,0.7708006837932329,0.7465484974023656,List two advantages of kernel-level threads over user-level threads.
deepseek-v4-pro,DeepSeek V4 Pro,199417a2-c63c-436e-8a8d-869d348dbbdd,2,2.0,123,0.2804878048780488,0.5648944069973703,0.2073170731707317,0.0,0.7235772357723578,0.7723577235772358,0.959349593495935,0.710963208788184,0.7144651609168272,List two advantages of kernel-level threads over user-level threads.
deepseek-v4-flash,DeepSeek V4 Flash,bc513144-2e7e-4363-8375-56c87bc07ff0,3,2.0,123,0.11382113821138211,0.325101610132231,-0.024390243902439025,0.0,0.8617886178861789,0.9186991869918699,0.991869918699187,0.814441522223924,0.8256774670804767,What is busy waiting (spinlock)?
deepseek-v4-pro,DeepSeek V4 Pro,bc513144-2e7e-4363-8375-56c87bc07ff0,3,2.0,123,0.21138211382113822,0.4597631061983315,-0.0975609756097561,0.0,0.7723577235772358,0.8211382113821138,0.983739837398374,0.6802930065090429,0.6808528787998673,What is busy waiting (spinlock)?
deepseek-v4-flash,DeepSeek V4 Flash,f2dac513-8733-4f95-8e93-ce1e5e922334,4,2.0,114,0.40789473684210525,0.6704934030315078,-0.3991228070175439,0.0,0.543859649122807,0.7280701754385965,0.956140350877193,0.8035438779203092,0.8096350136134395,"Describe the concept of ""demand paging"" as a virtual memory implementation. Why is it commonly used?"
deepseek-v4-pro,DeepSeek V4 Pro,f2dac513-8733-4f95-8e93-ce1e5e922334,4,2.0,114,0.21052631578947367,0.3918019549846894,-0.17543859649122806,0.0,0.6666666666666666,0.9210526315789473,0.9912280701754386,0.891517672899502,0.8929623017251681,"Describe the concept of ""demand paging"" as a virtual memory implementation. Why is it commonly used?"
deepseek-v4-flash,DeepSeek V4 Flash,47cb43c4-ca23-4831-960c-018702c06992,5,3.0,123,0.3170731707317073,0.5218790315554321,-0.1951219512195122,0.0,0.5528455284552846,0.8536585365853658,0.959349593495935,0.8508992625013858,0.7855594176037811,What is the difference between a preemptive scheduler and a non-preemptive scheduler? Provide an example scenario where 
deepseek-v4-pro,DeepSeek V4 Pro,47cb43c4-ca23-4831-960c-018702c06992,5,3.0,123,0.24390243902439024,0.4324255657551935,-0.10569105691056911,0.0,0.6422764227642277,0.8699186991869918,1.0,0.8861216523933056,0.8326498206596512,What is the difference between a preemptive scheduler and a non-preemptive scheduler? Provide an example scenario where 
deepseek-v4-flash,DeepSeek V4 Flash,fe59c063-d7d5-4d1a-8d82-90dd1e67c55b,6,2.0,118,0.288135593220339,0.5328210816819712,0.2627118644067797,0.0,0.6949152542372882,0.7372881355932204,0.9915254237288136,0.7150262555183042,0.66704790652152,Explain Belady’s Anomaly in the context of page replacement algorithms. Which replacement algorithm has this anomaly?
deepseek-v4-pro,DeepSeek V4 Pro,fe59c063-d7d5-4d1a-8d82-90dd1e67c55b,6,2.0,118,0.2796610169491525,0.5288298563329726,0.2627118644067797,0.0,0.7203389830508474,0.7203389830508474,1.0,0.7272433623933242,0.657414811793041,Explain Belady’s Anomaly in the context of page replacement algorithms. Which replacement algorithm has this anomaly?
deepseek-v4-flash,DeepSeek V4 Flash,1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c,7,3.0,123,0.35772357723577236,0.5447457824340404,-0.16260162601626016,0.5,0.4796747967479675,0.8455284552845529,0.959349593495935,0.8170514006818955,0.7649168410863535,What is priority inversion? Describe a scenario where busy waiting (spinlock) can lead to it. How can priority inheritan
deepseek-v4-pro,DeepSeek V4 Pro,1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c,7,3.0,123,0.33739837398373984,0.5576518714718867,-0.13414634146341464,0.0,0.5609756097560976,0.8130081300813008,0.9512195121951219,0.8056213385433217,0.7661761228079845,What is priority inversion? Describe a scenario where busy waiting (spinlock) can lead to it. How can priority inheritan
deepseek-v4-flash,DeepSeek V4 Flash,979c5847-2933-4887-b7fd-05f878541734,8,2.0,122,0.09016393442622951,0.30027309973793775,0.09016393442622951,0.0,0.9098360655737705,0.9098360655737705,1.0,0.9422067019453125,0.967165471951893,"In a system with a TLB hit ratio of 85%, if TLB access time is 15ns and memory access time is 100ns, calculate the effec"
deepseek-v4-pro,DeepSeek V4 Pro,979c5847-2933-4887-b7fd-05f878541734,8,2.0,122,0.040983606557377046,0.20244408254472898,0.040983606557377046,0.0,0.9590163934426229,0.9590163934426229,1.0,0.972457803307222,0.993669393007802,"In a system with a TLB hit ratio of 85%, if TLB access time is 15ns and memory access time is 100ns, calculate the effec"
deepseek-v4-flash,DeepSeek V4 Flash,376de8d7-fb33-4f62-be5a-b9044492c283,9,2.0,122,0.02459016393442623,0.156812512046795,-0.00819672131147541,0.0,0.9754098360655737,0.9754098360655737,1.0,0.9133594296898464,0.9466329892264279,"Given a disk with 150 tracks (0-149), head at track 80 moving towards increasing numbers. Requests are in tracks of 20, "
deepseek-v4-pro,DeepSeek V4 Pro,376de8d7-fb33-4f62-be5a-b9044492c283,9,2.0,122,0.00819672131147541,0.09053574604251853,-0.00819672131147541,0.0,0.9918032786885246,0.9918032786885246,1.0,0.9714563277201731,0.9473232232745707,"Given a disk with 150 tracks (0-149), head at track 80 moving towards increasing numbers. Requests are in tracks of 20, "
deepseek-v4-flash,DeepSeek V4 Flash,bcfce196-f980-45ec-9dfb-16ca53c1c6bf,10,6.0,123,0.13414634146341464,0.4575473674888043,-0.044715447154471545,0.0,0.8861788617886179,0.9105691056910569,0.975609756097561,0.9229977689345911,0.9136437823755867,"List three attributes that are shared among threads in the same process, and three that are not shared."
deepseek-v4-pro,DeepSeek V4 Pro,bcfce196-f980-45ec-9dfb-16ca53c1c6bf,10,6.0,123,0.14227642276422764,0.4485749794573054,-0.02032520325203252,0.0,0.8699186991869918,0.8943089430894309,0.983739837398374,0.9266099452682908,0.9201751039243944,"List three attributes that are shared among threads in the same process, and three that are not shared."
deepseek-v4-flash,DeepSeek V4 Flash,4cec7cc1-8e3e-45e3-866e-d800c15fef66,11,3.0,123,0.11788617886178862,0.40575133560034454,-0.10975609756097561,0.0,0.9024390243902439,0.9105691056910569,0.975609756097561,0.6246506577747702,0.5993353532169325,"Briefly describe the concepts of ""thread,"" ""process,"" and ""program."" How do they relate?"
deepseek-v4-pro,DeepSeek V4 Pro,4cec7cc1-8e3e-45e3-866e-d800c15fef66,11,3.0,123,0.4349593495934959,0.7170966756835669,-0.4349593495934959,0.0,0.5934959349593496,0.6016260162601627,0.975609756097561,0.46039673239477524,0.4090739585871463,"Briefly describe the concepts of ""thread,"" ""process,"" and ""program."" How do they relate?"
deepseek-v4-flash,DeepSeek V4 Flash,90fd763a-b0e8-4296-986b-e2b18af93a4a,12,2.0,122,0.20901639344262296,0.5375262098070271,0.11885245901639344,0.0,0.8278688524590164,0.8360655737704918,0.9590163934426229,0.7928946845957087,0.8004494746896045,"In a UNIX inode with 12 direct blocks and 1 single indirect block, assuming a block size of 8KB and address size of 4 by"
deepseek-v4-pro,DeepSeek V4 Pro,90fd763a-b0e8-4296-986b-e2b18af93a4a,12,2.0,122,0.20081967213114754,0.5525648096399725,-0.05327868852459016,0.0,0.8524590163934426,0.8524590163934426,0.9426229508196722,0.7910657794217247,0.7612697073728744,"In a UNIX inode with 12 direct blocks and 1 single indirect block, assuming a block size of 8KB and address size of 4 by"
deepseek-v4-flash,DeepSeek V4 Flash,7cc6d0c4-5832-45da-887f-502a70a914bf,13,4.0,95,0.35789473684210527,0.8825799501580878,-0.3368421052631579,0.0,0.7894736842105263,0.7894736842105263,0.9052631578947369,0.8872148885231552,0.8725918780732471,List the four necessary conditions that must hold simultaneously for a system-wide deadlock to occur.
deepseek-v4-pro,DeepSeek V4 Pro,7cc6d0c4-5832-45da-887f-502a70a914bf,13,4.0,95,0.23157894736842105,0.6324555320336759,-0.18947368421052632,0.0,0.8421052631578947,0.8421052631578947,0.9368421052631579,0.9368843637762696,0.9293240887067238,List the four necessary conditions that must hold simultaneously for a system-wide deadlock to occur.
deepseek-v4-flash,DeepSeek V4 Flash,7692d1fe-db5b-4ba5-9e19-21957a3c17d0,14,3.0,111,0.2927927927927928,0.6593062146565014,-0.25675675675675674,0.0,0.7657657657657657,0.7747747747747747,0.9459459459459459,0.878996684486475,0.8829871031050667,Describe the three requirements that a solution to the Critical Section problem must satisfy to be considered correct.
