experiment_id,exam_key,preset,contest_id,question_id,question_order,question_type,max_score,answer_count,scored_count,blank_score_count,model_id,run_status,terminal_event_type,started_at,ended_at,elapsed_seconds,input_tokens,output_tokens,cost_cents,cost_usd,session_id,run_id,prompt_preview,run_dir,grade_csv_path,rubric_path
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,short_answer,2,123,123,0,deepseek-v4-flash,completed,run_completed,2026-05-26T14:12:34Z,2026-05-26T14:15:06Z,152.000,385387,16026,6,0.0600,1e2257d2-6458-4e0f-b4b2-8e6224ad5c52,2fcdf241-607b-413f-a49f-9ac34da723a5,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; printf(""hello\n""); } ```",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/7b0b8919-6a25-48de-a6be-753fadfcb0c5/deepseek-v4-flash,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/7b0b8919-6a25-48de-a6be-753fadfcb0c5/deepseek-v4-flash/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/7b0b8919-6a25-48de-a6be-753fadfcb0c5/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,7b0b8919-6a25-48de-a6be-753fadfcb0c5,0,short_answer,2,123,123,0,deepseek-v4-pro,completed,run_completed,2026-05-26T14:12:34Z,2026-05-26T14:15:16Z,162.000,252945,8412,12,0.1200,f91cd8e8-cf0f-44d2-96b8-88df9f785d6f,848f7eb6-5ed6-41f3-95ce-c4a3803d04b8,"How many times does the following code print ""hello""? ```c main() { if (fork() == 0) { fork(); printf(""hello\n""); }; printf(""hello\n""); } ```",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/7b0b8919-6a25-48de-a6be-753fadfcb0c5/deepseek-v4-pro,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/7b0b8919-6a25-48de-a6be-753fadfcb0c5/deepseek-v4-pro/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/7b0b8919-6a25-48de-a6be-753fadfcb0c5/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,66ec6c12-2ebb-42e2-8aea-814f9b9a4c49,1,short_answer,2,123,123,0,deepseek-v4-flash,completed,run_completed,2026-05-26T14:15:06Z,2026-05-26T14:18:46Z,220.000,645994,15013,9,0.0900,f2d8a8c5-c837-429c-8a44-f49cca132033,f9aed8c0-61d7-4be4-b334-6ff5e398c90d,"What is the result of this code? ```c main() { fork(); execl(""/bin/echo"", ""echo"", ""hello"", 0); printf(""done\n""); } ```",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/deepseek-v4-flash,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/deepseek-v4-flash/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,66ec6c12-2ebb-42e2-8aea-814f9b9a4c49,1,short_answer,2,123,123,0,deepseek-v4-pro,completed,run_completed,2026-05-26T14:15:16Z,2026-05-26T14:19:24Z,248.000,181549,15149,9,0.0900,59c50600-7661-4807-b78e-6cb9fee0ab6e,230b93c3-20e8-4773-8ed6-60a2b87a6489,"What is the result of this code? ```c main() { fork(); execl(""/bin/echo"", ""echo"", ""hello"", 0); printf(""done\n""); } ```",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/deepseek-v4-pro,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/deepseek-v4-pro/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,199417a2-c63c-436e-8a8d-869d348dbbdd,2,essay,2,123,123,0,deepseek-v4-flash,completed,run_completed,2026-05-26T14:18:46Z,2026-05-26T14:21:23Z,157.000,329792,16177,5,0.0500,f3f889e1-b46d-4c0e-8070-4bc18f53dd08,1b4eeca1-a540-49d5-8709-86a6044cffe4,List two advantages of kernel-level threads over user-level threads.,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/199417a2-c63c-436e-8a8d-869d348dbbdd/deepseek-v4-flash,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/199417a2-c63c-436e-8a8d-869d348dbbdd/deepseek-v4-flash/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/199417a2-c63c-436e-8a8d-869d348dbbdd/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,199417a2-c63c-436e-8a8d-869d348dbbdd,2,essay,2,123,123,0,deepseek-v4-pro,completed,run_completed,2026-05-26T14:19:24Z,2026-05-26T14:24:03Z,279.000,607151,13142,28,0.2800,8b7f419a-185b-4ad4-9734-591d86ace97a,823c6696-f8b5-477e-b20e-4c27105c2d93,List two advantages of kernel-level threads over user-level threads.,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/199417a2-c63c-436e-8a8d-869d348dbbdd/deepseek-v4-pro,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/199417a2-c63c-436e-8a8d-869d348dbbdd/deepseek-v4-pro/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/199417a2-c63c-436e-8a8d-869d348dbbdd/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,bc513144-2e7e-4363-8375-56c87bc07ff0,3,essay,2,123,123,0,deepseek-v4-flash,completed,run_completed,2026-05-26T14:21:24Z,2026-05-26T14:24:33Z,189.000,663600,17559,10,0.1000,19ad4098-7456-4147-92d4-b0edcb0001ce,69f635e4-f3bc-4d58-a689-9a04ee8d6e80,What is busy waiting (spinlock)?,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/deepseek-v4-flash,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/deepseek-v4-flash/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,bc513144-2e7e-4363-8375-56c87bc07ff0,3,essay,2,123,123,0,deepseek-v4-pro,completed,run_completed,2026-05-26T14:24:03Z,2026-05-26T14:28:45Z,282.000,544417,14304,25,0.2500,dbeba065-96cf-471c-95a2-596ccd9dda4d,206f3c7b-d0b9-4db3-b94a-63b98962e113,What is busy waiting (spinlock)?,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/deepseek-v4-pro,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/deepseek-v4-pro/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,f2dac513-8733-4f95-8e93-ce1e5e922334,4,essay,2,114,114,0,deepseek-v4-flash,completed,run_completed,2026-05-26T14:24:33Z,2026-05-26T14:27:13Z,160.000,494839,16067,7,0.0700,5d3b2712-9dd4-465d-ad06-946ec0a99798,b9e9d6e3-6092-4437-99b1-dd6b7e318a45,"Describe the concept of ""demand paging"" as a virtual memory implementation. Why is it commonly used?",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/deepseek-v4-flash,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/deepseek-v4-flash/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-consolidated-20260527-0225,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,f2dac513-8733-4f95-8e93-ce1e5e922334,4,essay,2,114,114,0,deepseek-v4-pro,completed,run_completed,2026-05-26T14:27:13Z,2026-05-26T14:34:01Z,408.000,670657,23614,32,0.3200,6d9bd266-7309-46f5-9388-20f7ca646d0e,cd74b242-74dc-4ce2-9ad0-e8fa1468e092,"Describe the concept of ""demand paging"" as a virtual memory implementation. Why is it commonly used?",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/deepseek-v4-pro,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/deepseek-v4-pro/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-20260526-221232/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/deepseek-v4-pro/rubric.md
