model_id,model_label,question_id,question_order,max_score,answer_count,mae,rmse,bias_ai_minus_human,median_abs_error,exact_match_rate,within_0_5_rate,within_1_rate,pearson_corr,spearman_corr,prompt_preview
deepseek-v4-flash,DeepSeek V4 Flash,8c09a796-304f-491d-910b-126c7178a25d,0,3.0,110,0.045454545454545456,0.17837651700316892,-0.02727272727272727,0.0,0.9272727272727272,0.9818181818181818,1.0,0.9850963135194528,0.9425752938369295,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
deepseek-v4-pro,DeepSeek V4 Pro,8c09a796-304f-491d-910b-126c7178a25d,0,3.0,110,0.09090909090909091,0.3872983346207417,-0.08181818181818182,0.0,0.9090909090909091,0.9636363636363636,0.9818181818181818,0.9350739919123292,0.895835550899416,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
deepseek-v4-flash,DeepSeek V4 Flash,d84cb3ab-a1d9-4f09-9ae9-78c9411ccb46,1,3.0,118,0.3389830508474576,0.6509445549041193,-0.3389830508474576,0.0,0.6949152542372882,0.6949152542372882,0.9745762711864406,0.6641808072313788,0.48273073650337084,Describe the three main types of redundancy used to achieve fault tolerance.
deepseek-v4-pro,DeepSeek V4 Pro,d84cb3ab-a1d9-4f09-9ae9-78c9411ccb46,1,3.0,118,0.5550847457627118,1.1958615077686512,-0.5550847457627118,0.0,0.7457627118644068,0.7711864406779662,0.8135593220338984,0.4187810984639606,0.43417470157470867,Describe the three main types of redundancy used to achieve fault tolerance.
deepseek-v4-flash,DeepSeek V4 Flash,9bdf83bb-ecc7-4de2-b1c0-35a83aa6580e,2,2.0,118,0.3983050847457627,0.7041041910572658,-0.3983050847457627,0.0,0.6440677966101694,0.6610169491525424,0.9491525423728814,0.5609631667409988,0.4723724978979862,Identify two major differences between a traditional Multiprocessor (MP) and a Chip-level Multiprocessor (CMP).
deepseek-v4-pro,DeepSeek V4 Pro,9bdf83bb-ecc7-4de2-b1c0-35a83aa6580e,2,2.0,118,0.05084745762711865,0.25210974204480535,-0.05084745762711865,0.0,0.9491525423728814,0.9661016949152542,0.9915254237288136,0.8832694553282994,0.8195448043620144,Identify two major differences between a traditional Multiprocessor (MP) and a Chip-level Multiprocessor (CMP).
deepseek-v4-flash,DeepSeek V4 Flash,b8fea8c6-21b2-4e68-8da7-540504d18b30,3,3.0,115,0.3,0.5653009971610737,-0.3,0.0,0.6956521739130435,0.7391304347826086,0.9739130434782609,0.7322410447473003,0.5482443771651807,"How does affinity scheduling impact cache misses, TLB misses, and page faults in a multiprocessor system?"
deepseek-v4-pro,DeepSeek V4 Pro,b8fea8c6-21b2-4e68-8da7-540504d18b30,3,3.0,115,0.6304347826086957,0.9243093779070709,-0.6304347826086957,0.5,0.48695652173913045,0.5217391304347826,0.7913043478260869,0.5734319170675668,0.4516205059817193,"How does affinity scheduling impact cache misses, TLB misses, and page faults in a multiprocessor system?"
deepseek-v4-flash,DeepSeek V4 Flash,de117ea3-bbad-4bd2-9aff-86840d03ef2d,4,3.0,116,0.21982758620689655,0.4330127018922193,-0.2025862068965517,0.0,0.6896551724137931,0.8879310344827587,0.9913793103448276,0.8966073191670608,0.8411046713502615,"Define Access Transparency, Location Transparency, and Replication Transparency in distributed systems."
deepseek-v4-pro,DeepSeek V4 Pro,de117ea3-bbad-4bd2-9aff-86840d03ef2d,4,3.0,116,0.1939655172413793,0.40204220056417306,-0.15948275862068967,0.0,0.7155172413793104,0.9137931034482759,0.9913793103448276,0.9062892856570718,0.8522495189376575,"Define Access Transparency, Location Transparency, and Replication Transparency in distributed systems."
